,Appointed,Name,Status,Address,Role,Appointed on,Register Location,Registration Number,Company status,Resigned on,Correspondence address,Register location,Registration number,Company number
0,SKY CHARM SECRETARIAL SERVICES LIMITED,WEIHAI LTD (09585366),,,Secretary,12 May 2015,,,Dissolved,,"Chase Business Centre, 39/41 Chase Side, Southgate, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09585366
1,SKY CHARM SECRETARIAL SERVICES LIMITED,"ARIAS FURNITURE MANUFACTURING CO., LTD. (09587605)",,,Secretary,12 May 2015,,,Active,,"Chase Business Centre, 39/41 Chase Side, Southgate, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09587605
2,SKY CHARM SECRETARIAL SERVICES LIMITED,BRIGHT SUN IND'L LTD (09584971),,,Secretary,11 May 2015,,,Active,2 June 2016,"Chase Business Centre, 39/41 Chase Side, Southgate, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09584971
3,SKY CHARM SECRETARIAL SERVICES LIMITED,ER AURUM LTD (09586120),,,Secretary,12 May 2015,,,Dissolved,,"Chase Business Centre, 39/41 Chase Side, Southgate, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09586120
4,SKY CHARM SECRETARIAL SERVICES LIMITED,"NINGBO YU HAO INDUSTRY & TRADE CO., LTD (09585876)",,,Secretary,12 May 2015,,,Active,2 June 2016,"Chase Business Centre, 39/41 Chase Side, Southgate, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09585876
5,SKY CHARM SECRETARIAL SERVICES LIMITED,YBY GAMES LTD (09585305),,,Secretary,12 May 2015,,,Dissolved,,"Chase Business Centre, 39/41 Chase Side, Southgate, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09585305
6,SKY CHARM SECRETARIAL SERVICES LIMITED,"JCM INDUSTRIES CO., LTD (09362351)",,,Secretary,19 December 2014,,,Active,,"No 12, Qianshan Meisheng Yijie, Xiangzhou Dist., Zhuhai, Guangdong, China, 519070",UNITED KINGDOM,8026775,09362351
7,SKY CHARM SECRETARIAL SERVICES LIMITED,GOLDEN SHINTA TECHNOLOGY LTD (09829207),,,Secretary,19 October 2015,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09829207
8,SKY CHARM SECRETARIAL SERVICES LIMITED,RUIHUA INDUSTRIAL LIMITED (08768155),,,Secretary,8 November 2013,,,Dissolved,,"No.21, Yanfu Road, Chengxi Village, Chong'An Town, Wuyishan City, Fujian, England, 354300",UNITED KINGDOM,8026775,08768155
9,SKY CHARM SECRETARIAL SERVICES LIMITED,BLNESS INDUSTRIAL LIMITED (08768178),,,Secretary,8 November 2013,,,Dissolved,,"No.21, Yanfu Road, Chengxi Village, Chong'An Town, Wuyishan City, Fujian, England, 354300",UNITED KINGDOM,8026775,08768178
10,SKY CHARM SECRETARIAL SERVICES LIMITED,FULLHOOD INDUSTRIAL LIMITED (08773457),,,Secretary,13 November 2013,,,Dissolved,,"Chase Business Centre, 39/41 Chase Side, Southgate, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,08773457
11,SKY CHARM SECRETARIAL SERVICES LIMITED,"HANGZHOU XIMU FASHION CO., LTD. (09962081)",,,Secretary,21 January 2016,,,Active,3 January 2017,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09962081
12,SKY CHARM SECRETARIAL SERVICES LIMITED,SAN FRANCISCO REGIONAL CENTER LTD (10019319),,,Secretary,22 February 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,10019319
13,SKY CHARM SECRETARIAL SERVICES LIMITED,"LUOYANG GUORUN NEW MATERIAL TECHNOLOGY CO., LTD. (09975043)",,,Secretary,28 January 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09975043
14,SKY CHARM SECRETARIAL SERVICES LIMITED,FENG LONG LTD (09971844),,,Secretary,27 January 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09971844
15,SKY CHARM SECRETARIAL SERVICES LIMITED,"HUAWEI REFRACTORIES CO., LTD. (10019344)",,,Secretary,22 February 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,10019344
16,SKY CHARM SECRETARIAL SERVICES LIMITED,EURPER LIMITED (09967534),,,Secretary,25 January 2016,,,Active,25 January 2016,"Chase Business Centre, 39/41, Chase Side, London, United Kingdom, N14 5BP",UK,8026775,09967534
17,SKY CHARM SECRETARIAL SERVICES LIMITED,UK REFCO INTERNATIONAL GROUP LTD (10018048),,,Secretary,22 February 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,10018048
18,SKY CHARM SECRETARIAL SERVICES LIMITED,"WESTERN METAL MATERIALS CO., LTD (10019314)",,,Secretary,22 February 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,10019314
19,SKY CHARM SECRETARIAL SERVICES LIMITED,WHITE SHARK BRUJAS (UK) COMPANY LIMITED (10019452),,,Secretary,22 February 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,10019452
20,SKY CHARM SECRETARIAL SERVICES LIMITED,"SAKY STEEL CO., LIMITED (09153981)",,,Secretary,2 June 2015,,,Active,20 June 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,09153981
21,SKY CHARM SECRETARIAL SERVICES LIMITED,"YIWU B&Y PRINTING MACHINERY CO., LTD. (10022519)",,,Secretary,23 February 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,10022519
22,SKY CHARM SECRETARIAL SERVICES LIMITED,"FOR YOUR BEAUTY COSMETICS CO., LIMITED (09964718)",,,Secretary,22 January 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09964718
