Name,Number,Address,Dissolved On,Company Type,Incorporated On,Nature of Business
"ARIAS FURNITURE MANUFACTURING CO., LTD.",09587605,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Active,Private limited Company,12 May 2015,99999 - Dormant Company
BRIGHT SUN IND'L LTD,09584971,"61 Praed Street, Dept 400, London, England, W2 1NS",Active,Private limited Company,11 May 2015,99999 - Dormant Company
"NINGBO YU HAO INDUSTRY & TRADE CO., LTD",09585876,"61 Praed Street, Dept 400, London, England, W2 1NS",Active,Private limited Company,12 May 2015,99999 - Dormant Company
"JCM INDUSTRIES CO., LTD",09362351,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,19 December 2014,99999 - Dormant Company
"HANGZHOU XIMU FASHION CO., LTD.",09962081,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,21 January 2016,99999 - Dormant Company
FENG LONG LTD,09971844,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,27 January 2016,99999 - Dormant Company
"SAKY STEEL CO., LIMITED",09153981,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,30 July 2014,99999 - Dormant Company
"QINGDAO SANLIANFENG BIOLOGICAL PRODUCTS CO., LTD.",09962273,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,21 January 2016,99999 - Dormant Company
"ZHEJIANG HOMETIME PRODUCTS CO., LTD",09962192,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,21 January 2016,99999 - Dormant Company
"YIWU YONGJIE TRADING CO., LTD",10022473,"Rm 101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,23 February 2016,99999 - Dormant Company
"BC IMPORT AND EXPORT CO., LTD",08829258,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,2 January 2014,99999 - Dormant Company
TRANWELL INTERNATIONAL LIMITED,07904378,"145 157 St John Street, London, England, EC1V 4PW",Dissolved,22 July 2014,Private limited Company,10 January 2012,99999 - Dormant Company
"ORIENTAL INDUSTRY CO., LTD",09964772,"35 Ivor Place, Lower Ground, London, England, NW1 6EA",Active,Private limited Company,22 January 2016,99999 - Dormant Company
COLO INTERNATIONAL CORPORATION GROUP LTD,09962808,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,21 January 2016,99999 - Dormant Company
BEST GARDEN INVESTMENT LIMITED,07365453,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Active,Private limited Company,3 September 2010,99999 - Dormant Company
"JINGLE MOULD & PLAST CO., LTD",08902205,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Active,Private limited Company,19 February 2014,99999 - Dormant Company
FORTIS INTERNATIONAL EXCHANGE LTD,08867491,"Churchill House, 142-146 Old Street, London, England, EC1V 9BW",Active,Private limited Company,29 January 2014,82990 - Other business support service activities not elsewhere classified
CHINA MATERIAL INDUSTRIAL GROUP LTD,08884820,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,10 February 2014,99999 - Dormant Company
"SHANDONG GOLD TOP POLYMER GROUP CO., LTD",09981269,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,2 February 2016,99999 - Dormant Company
"MAGTRANS INDUSTRIAL CO., LTD",08373589,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,24 January 2013,99999 - Dormant Company
"EVERBRIGHT ASIA INDUSTRIAL DEVELOPMENT CO., LTD",09979126,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,1 February 2016,99999 - Dormant Company
"WORLEY CONSULTING CO., LTD",10019411,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,22 February 2016,99999 - Dormant Company
NOBLE INVESTMENT CONSULTING LIMITED,09700949,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,24 July 2015,99999 - Dormant Company
"CAPTAIN ELECTRONIC CO., LTD",09702811,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,25 July 2015,99999 - Dormant Company
IBABY TRADE LTD,09143343,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,23 July 2014,99999 - Dormant Company
"LFF INTERNATIONAL CO., LTD",09703886,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,27 July 2015,99999 - Dormant Company
"CARRIER BOOKING CO., LTD.",08641903,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,7 August 2013,99999 - Dormant Company
"BEIJING SHENG MAO TECHNOLOGY DEVELOPMENT CO., LTD",09705218,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,27 July 2015,99999 - Dormant Company
