ship_imo,company_imo,role,company_name,company_address,date_of_effect
8717910,5927668,Ship manager/Commercial manager,RYUSONG SHIPPING CO LTD,"Ryusong-dong, Chung-guyok, Pyongyang, North Korea.",since 08/07/2016
8717910,5740355,Registered owner,SEASTAR HONG KONG SHIPPING,"Care of Ryusong Shipping Co Ltd , Ryusong-dong, Chung-guyok, Pyongyang, North Korea.",since 08/07/2016
8717910,5927668,ISM Manager,RYUSONG SHIPPING CO LTD,"Ryusong-dong, Chung-guyok, Pyongyang, North Korea.",since 08/07/2016
9061227,5145314,Ship manager/Commercial manager,KOREA ANSAN SHIPPING CO,"Ryugyong 1-dong, Potonggang-guyok, Pyongyang, North Korea.",since 22/08/2016
9061227,5023386,Registered owner,DALIAN LONGGANG SHIPPING CO,"51, Changjiang Donglu, Zhongshan Qu, Dalian, Liaoning, 116001, China.",since 22/08/2016
9061227,5145314,ISM Manager,KOREA ANSAN SHIPPING CO,"Ryugyong 1-dong, Potonggang-guyok, Pyongyang, North Korea.",since 22/08/2016
9009085,5878575,Ship manager/Commercial manager,THAEPHYONGSAN SHIPPING CO LTD,"Room 402, 90, Sochon-dong, Sosong-guyok, Pyongyang, North Korea.",since 04/08/2015
9009085,5878575,Registered owner,THAEPHYONGSAN SHIPPING CO LTD,"Room 402, 90, Sochon-dong, Sosong-guyok, Pyongyang, North Korea.",since 04/08/2015
9009085,5878575,ISM Manager,THAEPHYONGSAN SHIPPING CO LTD,"Room 402, 90, Sochon-dong, Sosong-guyok, Pyongyang, North Korea.",since 04/08/2015
8314811,5805545,Ship manager/Commercial manager,KARIMCHON SHIPPING CO LTD,"Pyongchon 2-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 08/05/2014
8314811,5805545,Registered owner,KARIMCHON SHIPPING CO LTD,"Pyongchon 2-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 08/05/2014
